0.0,3.6,5.2,5.235987755982989,2.468584915432659e-35,1.2997491105996683e-34,-9.315373999864713e-34,0.0,-1.0,-1.0
0.02,3.6,5.2,5.235987755982989,-0.08663837632072745,0.09075109697666196,0.007674249655960372,0.0,-1.0,-1.0
0.04,3.5986555374101035,5.201408284181429,5.236106845721348,-0.17327718909119458,0.18150222974319097,0.015336969178346694,0.0,-1.0,-1.0
0.06,3.5959666109303994,5.204224852650883,5.236344990857002,-0.25991644450186163,0.27225339869789045,0.022987993942214385,0.0,-1.0,-1.0
0.08,3.590860512294532,5.209573314029081,5.236796631244019,-0.3465565947005871,0.3630046390825284,0.03061536088111217,0.0,-1.0,-1.0
0.1,3.584274032686228,5.216472400714162,5.237378596992433,-0.4331973756220874,0.4537559284141301,0.03822603039338013,0.0,-1.0,-1.0
0.12,3.576343059548639,5.224779774070892,5.238078834616425,-0.5198387482788223,0.5445072633500805,0.04582102826104191,0.0,-1.0,-1.0
0.14,3.56613075010134,5.235476705763919,5.238979148955571,-0.6064812516197973,0.6352586833713847,0.0533860396489082,0.0,-1.0,-1.0
0.16,3.5543021249284092,5.247866605014988,5.240020588566948,-0.6931246984975916,0.7260101719598082,0.0609259693511213,0.0,-1.0,-1.0
0.18,3.541128966109105,5.261664793970159,5.241179236323333,-0.7797689767111821,0.81676172012602,0.06844377744377254,0.0,-1.0,-1.0
0.2,3.525810295300997,5.27771020726912,5.2425242307373665,-0.8664147518520469,0.907513372676735,0.07592167475722701,0.0,-1.0,-1.0
0.22,3.5087393480540565,5.295590932010458,5.244020454028434,-0.9530620140007194,0.9982651237570678,0.08335977690681,0.0,-1.0,-1.0
0.24,3.4903238098079794,5.314879950455395,5.245632356251669,-1.0397105290650095,1.0890169554129476,0.09076427590115912,0.0,-1.0,-1.0
0.26,3.4698985648848155,5.33627386010351,5.247416355414848,-1.126361163195032,1.1797689184469904,0.09811179572330112,0.0,-1.0,-1.0
0.28,3.447585037958431,5.359645427506523,5.249360470999422,-1.2130143377548024,1.270521025159709,0.10539059160323926,0.0,-1.0,-1.0
0.3,3.4239268312841507,5.384425294054176,5.251417877310285,-1.2996696139732757,1.3612732419815232,0.11261227265013209,0.0,-1.0,-1.0
0.32,3.3983946884985383,5.411167719844499,5.253632167612831,-1.3863282181076024,1.4520256228798576,0.11974320808123287,0.0,-1.0,-1.0
0.34,3.370838170228733,5.440030153184655,5.256013039076131,-1.472991786271778,1.5427781979551807,0.12673730413924023,0.0,-1.0,-1.0
0.36,3.3419368165435626,5.470300892935347,5.2585029446465485,-1.5596595919270797,1.6335308937145405,0.13361329490398285,0.0,-1.0,-1.0
0.38,3.3112972228864503,5.502391860987629,5.261132413471178,-1.6463336629257357,1.7242837384899106,0.14031381652284036,0.0,-1.0,-1.0
0.4,3.278496948375298,5.536745188842519,5.2639289182802385,-1.7330202964311627,1.8150365602133118,0.14665343932892644,0.0,-1.0,-1.0
0.42,3.2443514943221037,5.572506827702172,5.266824718606024,-1.8197196166787777,1.9057888233349305,0.15261373316210194,0.0,-1.0,-1.0
0.44,3.208603285177498,5.609946357334337,5.269836514655168,-1.9064364492289543,1.996540152855575,0.1580459035753288,0.0,-1.0,-1.0
0.46,3.1705573180566873,5.649790548035464,5.272992248305905,-1.9932166463977,2.08727789791439,0.16128689122832682,0.0,-1.0,-1.0
0.48,3.1311647866480414,5.6910428369654795,5.276201702550301,-2.073128669260252,2.1726086815514583,0.1158982380273829,0.0,-1.0,-1.0
0.5,3.090303802897947,5.7338303944986855,5.279461838406456,-2.1437695571299935,2.25065037060784,0.005265010932776815,0.0,-1.0,-1.0
0.52,3.047460232776493,5.778808247111509,5.279616974667169,-2.14875439021225,2.252815302896374,8.770032594995913e-07,0.0,-1.0,-1.0
0.54,3.0044935544499194,5.823872570840048,5.279616994070742,-2.1496426146553844,2.2519684618330094,6.801761285602662e-07,0.0,-1.0,-1.0
0.56,2.961500702156812,5.868911940076708,5.279617007674264,-2.149642614655384,2.2519684618330094,6.801761281067392e-07,0.0,-1.0,-1.0
0.58,2.9185078498637047,5.913951309313367,5.279617021277787,-2.149642614655384,2.2519684618330094,6.801761279498271e-07,0.0,-1.0,-1.0
0.6,2.8755149975705967,5.958990678550027,5.279617034881309,-2.149642614655384,2.2519684618330094,6.801761283218697e-07,0.0,-1.0,-1.0
0.62,2.832522145277489,6.004030047786687,5.279617048484831,-2.149642614655384,2.2519684618330094,6.801761290982556e-07,0.0,-1.0,-1.0
0.64,2.7895292929843816,6.049069417023348,5.279617062088354,-2.149642614655384,2.2519684618330094,6.80176128907658e-07,0.0,-1.0,-1.0
0.66,2.746536440691274,6.094108786260007,5.279617075691877,-2.149642614655384,2.2519684618330094,6.801761287229624e-07,0.0,-1.0,-1.0
0.68,2.7035435883981664,6.139148155496667,5.279617089295399,-2.149642614655384,2.2519684618330094,6.801761285892756e-07,0.0,-1.0,-1.0
0.7000000000000001,2.660550736105059,6.184187524733327,5.279617102898921,-2.149642614655384,2.2519684618330094,6.801761288265155e-07,0.0,-1.0,-1.0
0.72,2.6175578838119518,6.229226893969987,5.279617116502444,-2.149642614655384,2.2519684618330094,6.801761291273447e-07,0.0,-1.0,-1.0
0.74,2.574565031518844,6.274266263206647,5.279617130105966,-2.149642614655384,2.2519684618330094,6.801761294789308e-07,0.0,-1.0,-1.0
0.76,2.531572179225736,6.319305632443307,5.279617143709489,-2.149642614655384,2.2519684618330094,6.801761299051743e-07,0.0,-1.0,-1.0
